Average of Salespeople,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Puente,18,16,14.85714286,14.92857143,16.57142857,17,17.78571429,18.92857143,19.57142857,21.07142857,20.64285714,17.71428571,21.21428571,21.21428571,21.92857143,21.64285714,19.5,21.27272727,18.71428571,20.57142857,20.14285714,25,25,25,23.14285714,4.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,15.85714286,15.14285714,15.21428571,15,8.857142857,7.785714286,7.785714286,6.5,8.428571429
Puente Alto,13.14285714,10.57142857,9.785714286,9.642857143,12.71428571,11.21428571,14.57142857,15.71428571,15.5,15.78571429,17.07142857,15.5,18.42857143,20,20.07142857,19.85714286,17.07142857,21.09090909,22.14285714,22.28571429,23.57142857,19,19,19,17.42857143,4.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,27.28571429,32.71428571,24.07142857,23.64285714,16.78571429,15.07142857,16.07142857,12.71428571,11.35714286
Puente Alto (Dijon),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rancagua,20.07142857,17.5,15.28571429,15.07142857,18,18.14285714,20.14285714,21.07142857,21.5,22.5,22.92857143,20.28571429,22.78571429,23.85714286,24.92857143,25.5,22.42857143,25.45454545,24.85714286,24.42857143,24.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,23.85714286,20.85714286,20.71428571,20.14285714,19.42857143,19,17.21428571,15.92857143
San Antonio,17.85714286,0.714285714,0.571428571,0.714285714,14.85714286,11.28571429,5.666666667,5.928571429,7,8.642857143,8.285714286,6.714285714,7.714285714,7.5,10.21428571,9.928571429,8.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0,3.428571429
San Bernardo Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.285714286,15.28571429,15.28571429,15.28571429,15.28571429,1.3,0,0,0,0
San Felipe,14.71428571,12.21428571,11.71428571,12.28571429,15.42857143,16.71428571,17.92857143,17.85714286,19.28571429,20.21428571,20.14285714,17.85714286,19.71428571,17.5,20.07142857,20.07142857,17.57142857,19.27272727,15.14285714,15.85714286,15.71428571,20,20,20,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57142857,22.28571429,18.07142857,18.35714286,12.07142857,16.57142857,16,12.07142857,11.92857143
Talagante,18.85714286,13.28571429,10.85714286,13.42857143,14.28571429,12.57142857,7.25,5.357142857,7.5,8.571428571,8.357142857,7.214285714,9.285714286,8.5,7.571428571,8.571428571,7.285714286,5.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.428571429,0.142857143,0.142857143,11.2,9.714285714,10.14285714,13.77777778,15.14285714
Talca III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temuco,12,7.928571429,8.571428571,9.071428571,18.21428571,17.28571429,17.71428571,18.92857143,20.64285714,21.28571429,22.35714286,19.64285714,21.57142857,18.78571429,18.71428571,19.42857143,17.57142857,21.63636364,18.28571429,19.42857143,18.14285714,26,26,26,26,7.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571428571,0,0.214285714,11.57142857,13.85714286,15,12.57142857,11.64285714
Temuco (Esp. Dijon),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallenar,20.42857143,9,9.285714286,11.85714286,11.57142857,11.71428571,7,5.285714286,8.142857143,8.214285714,9.142857143,8.428571429,8.428571429,8.857142857,8.428571429,7.714285714,7.571428571,6.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.142857143,0.857142857,0,0,10.85714286,13.33333333,16.71428571
