Average of Traffic,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,
La Serena,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779.428571,2404.428571,2355.142857,2429.285714,2321.142857,2702.714286,3075.285714,2562.285714,2132.142857,2224.428571,2385.285714,2863.142857,1897.571429,2586.428571,2854.571429,2826.428571,2523.285714,2281,2261,2864.428571,2541,2725.142857,2948.714286,3878.857143,4374.142857,5381.428571,4181.285714,2896.25,3025.857143,2770.571429,2830.285714,3033.428571,3500.857143,2972.857143,2835.428571,2744.714286,3317.428571,2774.428571,2642.857143,2160.285714,3072,2356.285714,2608.285714,2494.571429,2545.285714,3278.75,1372.666667
Los Angeles,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690.428571,2701.285714,2838.142857,3028.285714,2866.714286,2829.428571,3094.428571,4149.142857,2808.571429,2691.428571,2642.428571,3125.428571,2897,2174.714286,2582.714286,3019.428571,3186.857143,2706.142857,2541,2438.714286,3155.428571,3119.428571,3009.285714,3061.571429,3862.142857,4565,5616.857143,4840.714286,3458,3535.428571,3281.857143,2804.714286,3006.428571,3505,3415,3046.285714,3087.714286,3638.857143,3046.142857,3161.571429,2266,3209,3349.142857,3007.142857,2638.857143,2579,3301.75,1488
Melipilla,3172.857143,3625.428571,4759.428571,4804.714286,5658,4277.428571,3150.333333,3388.857143,3135.285714,2868,2906.714286,3563,2935,2920.714286,3061.285714,3711,2988.571429,2355,2286.714286,2145.428571,3144.285714,2889.428571,2579.428571,2634,3705.714286,2793.857143,2661.285714,2925.714286,3324.142857,3020.285714,3005.285714,2554.857143,2716.142857,3144.428571,2946.571429,2761.285714,2966.285714,4141,2936.714286,2713.857143,2554.428571,3092.428571,2808.714286,2103.285714,2772.142857,3150.285714,3402.285714,2873.714286,2804.142857,2721.285714,3594,3237,3149.714286,3054,3393.571429,3648.857143,4197.714286,3885.428571,2542.375,3249.285714,2445.428571,2814.714286,2701,3297.714286,2950.857143,2720.571429,2686.428571,3469,3043.714286,2898.428571,2133.857143,3000.714286,3263.142857,2637.857143,2600.714286,2462.428571,3433.25,1803
Puente,4795.571429,5742.571429,7174.428571,6898.857143,8150.285714,5849.142857,5049.333333,4777,4594.285714,4227.571429,4830.142857,5432.714286,4749,4323.142857,4987,5531.857143,4391.714286,3939.857143,3665.428571,3381,4665.571429,4397.857143,4068.571429,4432.571429,5615.571429,4546.142857,4526.142857,4809.142857,5489.428571,4598.714286,4467.428571,4166.714286,4863,4815,4716.285714,4382.714286,5141.714286,5653.285714,4835.142857,4474,4579,5653.571429,4575.142857,3530.571429,4286,5722,5150.714286,4517.571429,4142,4418.285714,5627.142857,4809.714286,4766.142857,4634.285714,6397.857143,6165,6953.857143,5948.142857,4532.125,5215.428571,2514.428571,897.8571429,2586,5969.714286,4843.285714,4495.142857,4513,5756.857143,4779.571429,4599.428571,3697.571429,5395.571429,5807.714286,4159.142857,4724.571429,4206.714286,6009.25,3768.666667
Puente Alto,3618.285714,4292.142857,5682.571429,5351.428571,6430.714286,4499.571429,3509.666667,3620,3106.571429,2897,3285.571429,3781.428571,2873,2998.428571,3553.571429,4247.714286,3208.285714,2963.285714,2602.571429,2474.142857,3293.142857,3051,2834.142857,3164.428571,4106.285714,3303.714286,3045.857143,3514.857143,4051.428571,3494.428571,3320.142857,3050.285714,3544.142857,3538.714286,3394.428571,3080,3544.714286,4523.142857,3222.142857,2971.428571,3070.714286,3823,2909.857143,2115.142857,2664.714286,3690.714286,3726.714286,2973.142857,2753.857143,2980.857143,3965,3447.428571,3567.285714,4085.714286,5222.285714,3928.714286,5756.142857,4787.428571,2806.75,0,0,0,0,0,574.2857143,685.5714286,0,0,2261.428571,2671.285714,2533.428571,3846.571429,4001.571429,3093.142857,3432,3118.714286,4512.75,0
Puente Alto (Dijon),,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.4285714,509.4285714,553.8571429,427.2857143,386.7142857,409.1428571,604.5,0
Rancagua,3848.571429,4271,6660.857143,6548.285714,8440.571429,5819.142857,4271.666667,4357.571429,3705,3525,3437.857143,4344.142857,3792.285714,3501.285714,3838.142857,4737.285714,3663.571429,3390.142857,2998.142857,2774.428571,3879,3460.571429,3244.285714,3201.714286,4550.857143,3459,3245.714286,3641.285714,3934,3483.285714,3539.285714,3065.142857,3270.714286,3357.428571,3278.857143,3256.571429,3531,4973.571429,3227.285714,2982.428571,2984.857143,3666.714286,3068,2333.714286,3010.428571,3515.571429,3726.428571,2957,2925,2939.571429,3751.142857,3513.714286,3507.142857,3657.428571,5004.142857,5448.857143,6714.571429,5555.428571,3478.125,4031.142857,3363.857143,3297.285714,3155.571429,3944.285714,3661.714286,3387.285714,3190,4290,3723.142857,3420.428571,2378.714286,3384.428571,3911.285714,2953.857143,3144,2858.857143,4103.25,2158.333333
San Antonio,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252.428571,2427,2655.428571,2574.714286,2676,2701.428571,3174.571429,2450.428571,2369.285714,2286,2772,2425.142857,1787.714286,2511.857143,2765.285714,2632.714286,2225.142857,2287.857143,2209.428571,2925,2700.714286,2797.571429,2875.571429,3827.714286,4083.571429,5012.571429,4361.857143,2940,3135.428571,1789,1827,2187.142857,3520.857143,3060.714286,2887.857143,2823.428571,3455,2661.571429,2541.428571,1963.857143,2723.571429,2752.428571,2207.428571,2383.714286,2282.285714,3173.5,1642.666667
San Bernardo Centro,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059.571429,2094.285714,2583.285714,2424.714286,2463.285714,2235.428571,2524,3394.428571,2318.285714,2206.285714,2147.857143,2749.285714,2135.857143,1725.857143,2141.857143,2793.285714,2764.285714,2205.285714,2139.142857,2435.571429,3020.714286,2634.714286,2697.142857,3036.285714,4078.142857,4012.428571,5229.857143,4163,2065.75,3127.857143,2329.142857,2333.428571,2604.714286,3069.428571,2480.142857,2245.714286,2439.857143,3234.142857,2476,2434.428571,1882.714286,2938.571429,2956.857143,2166.571429,2692.857143,2327.428571,3268.75,1911.666667
San Felipe,3744.857143,4140.571429,5230.714286,5510.142857,7188.142857,4986.285714,3826.333333,3568.714286,3245.571429,3248.428571,3508.428571,4088.285714,3490.428571,3512.285714,3770.857143,4292.142857,3423.857143,3041.857143,2881.428571,2581.285714,3593,3238.142857,3125.428571,3007.428571,4307.714286,3366.285714,3135.857143,3347,3662.142857,3184.428571,3376.428571,3012.142857,3208.142857,3199.857143,3122.571429,3102,3495.428571,4210.285714,3045,3121.714286,3063.714286,3094.428571,2515.571429,1836,2460.142857,2898.285714,2642.714286,2685.142857,2390.714286,2386,3135.714286,2778.142857,2809,2925.428571,3801,3859.714286,4786.142857,4086.142857,2909.25,3131.857143,2485.285714,2460.285714,2615.142857,3086.142857,2784.857143,2543.571429,2663,3470.714286,2838.714286,2756.571429,2098,3040.571429,3263.428571,2520.714286,2693,2473,3500.5,1474.666667
Talagante,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.2857143,2156.142857,2174.857143,2187.142857,2302.714286,2073.571429,2461.714286,3105.142857,2122,2203.142857,2148.857143,2690.142857,2107.571429,1548.428571,1914.428571,2446.428571,2316.428571,1895.714286,1880.428571,2029.857143,2705.571429,2298.714286,2184,2273,3242.285714,3290.714286,4132.142857,3845,2383.5,2517.714286,1565.428571,1433.428571,1429.285714,2472.428571,2046,1852.428571,1863.857143,2624.714286,2021.857143,1985.857143,1495.285714,2193.142857,2267.142857,1681.428571,1912.714286,1783.857143,2653.5,1532
Talca III,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,2235.571429,2530.285714,2347,2487.285714,2326.285714,2527.714286,3411.285714,2435.571429,2256.857143,2221,2619.428571,2342.571429,1678.285714,2159.142857,2517.571429,2489.428571,2141.142857,2037.714286,1998.714286,2627.428571,2316.714286,2397.285714,2521,3349.857143,3833.571429,4583.571429,3935.857143,2643.25,2848.714286,2449.428571,2422.142857,2599.857143,3032.285714,2763.714286,2466.428571,2495.428571,3170.142857,2685.285714,2577.285714,1959,2837.428571,2951.142857,2412.285714,2282.285714,2158.714286,2919.5,1555.666667
Temuco,4135.714286,5135.428571,6244.428571,5643,7966.428571,6197,5499,5220.285714,4330.285714,4203.857143,4585.857143,5623.571429,4987.714286,4724.142857,5121.857143,5870.285714,4741.142857,3824.285714,2880.428571,2875.571429,3605.571429,3102.571429,3001.285714,3109.857143,4142.857143,3020.142857,2943.285714,3009.714286,3394.857143,3972,4552.857143,3517.857143,3351.571429,3869.571429,3945.571429,3702.714286,3567.285714,4361.857143,3430.714286,3104.714286,2988,3888,4161.857143,2647.285714,3182.428571,3739.571429,3885.428571,3025.714286,2994,3599,4423.714286,4922,3791.571429,3655.571429,5092,5546.714286,5868.571429,4937.285714,3772.875,3861.857143,2893.714286,4151.428571,4738.571429,5789.428571,6103,3803.714286,3774.571429,4271.285714,3656.714286,3588.285714,3383.857143,4395,4813.714286,4220,3976.857143,3574.428571,5129,2288
Temuco (Esp. Dijon),,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183.142857,1921.285714,1906.428571,1926.428571,1854.428571,1433.142857,1226.857143,1484.142857,1019.571429,934.4285714,946.1428571,1232.285714,1614.714286,1284.571429,1443.857143,167.7142857,0,0,198.2857143,1746.571429,1412,1202.714286,1075.714286,1196,1600.285714,1669.142857,2152.571429,2143.857143,1548.75,1600.428571,1700,1112.571429,1198,1526.428571,1490.285714,0,0,0,0,0,364.8571429,704.5714286,786.8571429,643,573,613.1428571,773.75,527
Vallenar,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062.428571,2599.857143,2546.142857,2366.857143,2514.428571,2984.428571,3650.714286,2565.285714,2178,2338.142857,2754.714286,2306.857143,1759,2087.428571,2508.428571,2430.285714,2102.571429,2138.142857,2262.428571,2775.428571,2532.142857,2644.857143,2999.714286,3826.285714,4020.714286,4741.571429,4470.428571,3223,2626.142857,1378.571429,1472.857143,1677.857143,2682.571429,2317.714286,2218.428571,2382.571429,3072.714286,2382.857143,2232.285714,1753.285714,2479.714286,2406.285714,2060.428571,1946.857143,2067.142857,2875.5,1207.333333
