Average of Salespeople Working Same Time,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Melipilla,21.26,15.60642857,12.22,11.47642857,12.5,13.26785714,17.04785714,18.41214286,15.68357143,15.82,18.13,16.02357143,22.25071429,24.48071429,24.68142857,25.06571429,22.04928571,29.36090909,32.81714286,32.37142857,33.66571429,19.81142857,19.81714286,19.82285714,17.26571429,3.107142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.148571429,5.152142857,5.322142857,5.096428571,21.67071429,19.275,17.63642857
Puente,16.21642857,14.15214286,12.29285714,12.31714286,14.28714286,14.54142857,16.96214286,17.98,17.64571429,18.86928571,18.56285714,15.96642857,23.59357143,26.44071429,27.56642857,28.03785714,24.57857143,29.60454545,30.86571429,34.66,34.46285714,24.97571429,25.00571429,24.90714286,21.90142857,2.702857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.468571429,13.89714286,13.45285714,12.15,11.97642857,6.375,5.700714286,5.507142857,4.518571429,7.010714286
Puente Alto,10.85928571,8.681428571,8.121428571,7.922857143,10.61714286,9.181428571,13.36714286,14.84571429,16.19214286,15.99,17.10357143,15.65571429,20.01642857,21.79214286,21.82928571,22.19642857,20.02571429,26.06636364,31.10142857,30.80285714,33.23857143,18.48285714,18.30571429,18.31428571,16.42428571,3.172857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035714286,24.45857143,29.87285714,20.71214286,20.79285714,14.32714286,12.76571429,13.09428571,10.39071429,9.19
Puente Alto (Dijon),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rancagua,15.865,14.66642857,12.35928571,12.56142857,14.50285714,14.83142857,17.665,18.35357143,18.985,19.26785714,19.12214286,16.92071429,23.365,26.77071429,28.90642857,29.69214286,26.92571429,33.01818182,39.85857143,38.74714286,38.18428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.482857143,20.81857143,17.33642857,17.495,16.65214286,16.22785714,15.91642857,14.72785714,12.9
San Antonio,16.75571429,0.61,0.61,0.648571429,12.95857143,9.527142857,4.839166667,5.298571429,5.974285714,7.667857143,6.849285714,5.715,6.438571429,6.169285714,8.541428571,8.680714286,7.359285714,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318571429,0.138571429,0.098571429,0,0,0,0,0,0,2.322857143
San Bernardo Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.505454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,12.71285714,12.66,12.65571429,12.70857143,1.007,0,0,0,0
San Felipe,12.46214286,10.03285714,9.847857143,10.31357143,13.15428571,13.89071429,15.73857143,15.59,16.75285714,17.65785714,17.18071429,15.05928571,18.88,17.80214286,20.36,20.62285714,17.93428571,20.22818182,17.66142857,18.47714286,18.23142857,18.81285714,18.61714286,18.69571429,13.58285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.907142857,20.48428571,14.84,14.60571429,10.19642857,14.47,14.42285714,10.36857143,9.378571429
Talagante,26.68857143,18.88714286,11.62428571,12.99285714,13.50571429,11.98571429,6.864166667,4.98,7.147142857,7.88,8.031428571,6.591428571,8.478571429,7.690714286,7.069285714,7.642857143,7.12,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641428571,0.445714286,0.001428571,-0.011428571,10.837,9.672857143,15.665,19.82111111,20.72857143
Talca III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.195454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temuco,11.04214286,7.221428571,7.624285714,8.255714286,14.91857143,14.42428571,15.90214286,17.22071429,18.86571429,19.59571429,20.72214286,17.82071429,21.12428571,19.40571429,19.33714286,20.52357143,18.77428571,23.57727273,22.22857143,23.67571429,22.01857143,27.01571429,26.97571429,27.04714286,25.71571429,6.255714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504285714,0,0.007142857,10.90214286,12.84142857,14.38357143,11.65785714,10.14714286
Temuco (Esp. Dijon),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallenar,15.95285714,6.747142857,7.207142857,9.077142857,9.284285714,9.065714286,5.343333333,4.140714286,6.26,6.19,6.899285714,6.597857143,6.665,6.760714286,6.369285714,5.880714286,5.757142857,4.708181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,-0.038571429,0.811428571,0,0,9.008571429,10.68777778,12.62
